"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 04 14:58:04 IST 2025","Thu Dec 04 14:58:48 IST 2025","44039","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkGlobalSearchToolTipArabic_3619Test","checkGlobalSearchToolTipArabic_3619Test",""
"skipped","Thu Dec 04 16:30:43 IST 2025","Thu Dec 04 16:30:43 IST 2025","2","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyFirstBtnFxnality_UnitTransactionTable_TC7322","verifyFirstBtnFxnality_UnitTransactionTable_TC7322",""
"skipped","Thu Dec 04 17:58:29 IST 2025","Thu Dec 04 17:58:29 IST 2025","1","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyTotalWarehousesForCurrentYear_TC8186","verifyTotalWarehousesForCurrentYear_TC8186",""
"skipped","Thu Dec 04 18:03:32 IST 2025","Thu Dec 04 18:03:32 IST 2025","0","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifySelectedLegendsOnGraph_2ndGraph_TC9055","verifySelectedLegendsOnGraph_2ndGraph_TC9055",""
"broken","Thu Dec 04 17:15:18 IST 2025","Thu Dec 04 17:15:53 IST 2025","34289","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyAllColumns_RentUnitSizeWiseTable_WarehouseRental_TC9241","verifyAllColumns_RentUnitSizeWiseTable_WarehouseRental_TC9241",""
"skipped","Thu Dec 04 16:24:20 IST 2025","Thu Dec 04 16:24:20 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyDownloadMessage_PropertyTransactionsTable_TC6678","verifyDownloadMessage_PropertyTransactionsTable_TC6678",""
"skipped","Thu Dec 04 14:24:25 IST 2025","Thu Dec 04 14:24:25 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkRangeValuesInDepartments_7463Test","checkRangeValuesInDepartments_7463Test",""
"skipped","Thu Dec 04 16:04:21 IST 2025","Thu Dec 04 16:04:21 IST 2025","0","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkSingleDecimalLandArea_PropDetailsPg_8175Test","checkSingleDecimalLandArea_PropDetailsPg_8175Test",""
"skipped","Thu Dec 04 19:29:15 IST 2025","Thu Dec 04 19:29:15 IST 2025","4","Retail sector failed test cases Suite","Test","markets.LoginPageTest","markets.LoginPageTest","verifyLoginBtn_4162","verifyLoginBtn_4162",""
"skipped","Thu Dec 04 14:23:21 IST 2025","Thu Dec 04 14:23:21 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkHiperlinkedPropertyAndColour_3842Test","checkHiperlinkedPropertyAndColour_3842Test",""
"skipped","Thu Dec 04 18:02:11 IST 2025","Thu Dec 04 18:02:11 IST 2025","1","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyMapViewLabelAppearsOnHover_TC8959","verifyMapViewLabelAppearsOnHover_TC8959",""
"skipped","Thu Dec 04 19:32:39 IST 2025","Thu Dec 04 19:32:39 IST 2025","1","Retail sector failed test cases Suite","Test","markets.NotificationTest","markets.NotificationTest","changeDefaultLanguageFxnlityMKT_I244","changeDefaultLanguageFxnlityMKT_I244",""
"failed","Thu Dec 04 17:39:37 IST 2025","Thu Dec 04 17:40:36 IST 2025","59554","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyGradeOrder_Arabic_WarehouseRental_TC9691","verifyGradeOrder_Arabic_WarehouseRental_TC9691",""
"skipped","Thu Dec 04 16:45:14 IST 2025","Thu Dec 04 16:45:14 IST 2025","1","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkStaticOverviewWithDateFilterOfficeInventoryV2_7484_7487_7495Test","checkStaticOverviewWithDateFilterOfficeInventoryV2_7484_7487_7495Test",""
