"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 03 12:46:10 IST 2025","Wed Dec 03 12:46:44 IST 2025","33309","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","transactionClustersOnMapBasic_6021Test","transactionClustersOnMapBasic_6021Test",""
"broken","Wed Dec 03 13:31:25 IST 2025","Wed Dec 03 13:32:29 IST 2025","63827","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyHeaderCountDisplayed_PropertyTransactionsTable_TC6414","verifyHeaderCountDisplayed_PropertyTransactionsTable_TC6414",""
"skipped","Wed Dec 03 13:43:26 IST 2025","Wed Dec 03 13:43:26 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyValueColumnInBlueColor_UnitTransactionsTable_TC9579","verifyValueColumnInBlueColor_UnitTransactionsTable_TC9579",""
"skipped","Wed Dec 03 13:45:06 IST 2025","Wed Dec 03 13:45:06 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","VerifyAdjustedbyEstaterTeam_OrangeColor_UnitTransactionsTable_TC9601","VerifyAdjustedbyEstaterTeam_OrangeColor_UnitTransactionsTable_TC9601",""
"skipped","Wed Dec 03 13:39:11 IST 2025","Wed Dec 03 13:39:11 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyDownloadMessage_PropertyTransactionsTable_TC6678","verifyDownloadMessage_PropertyTransactionsTable_TC6678",""
"skipped","Wed Dec 03 13:34:17 IST 2025","Wed Dec 03 13:34:17 IST 2025","1","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyUnitTransactionsTableColumnsUI_TC4289","verifyUnitTransactionsTableColumnsUI_TC4289",""
"broken","Wed Dec 03 12:16:46 IST 2025","Wed Dec 03 12:17:19 IST 2025","32757","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkDefaultSatelliteMapView_4343Test","checkDefaultSatelliteMapView_4343Test",""
"broken","Wed Dec 03 13:12:38 IST 2025","Wed Dec 03 13:13:24 IST 2025","46366","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkLandAreaBoxArabic_8171Test","checkLandAreaBoxArabic_8171Test",""
"broken","Wed Dec 03 11:11:01 IST 2025","Wed Dec 03 11:11:44 IST 2025","42527","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkCollapsibleIconRentMallWise_5888Test","checkCollapsibleIconRentMallWise_5888Test",""
"passed","Wed Dec 03 13:54:55 IST 2025","Wed Dec 03 13:55:18 IST 2025","23562","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkGraphHeadingGrossOfficeSpaceGradeWiseSqm_7497Test","checkGraphHeadingGrossOfficeSpaceGradeWiseSqm_7497Test",""
